Membership No  Date Joined  Active  
    17142      2020-11-3    yes   
    31632      2017-10-19   no    
    33936      2018-11-19   yes   
    43789      2018-12-3    no    
    25902      2019-4-22    no    
    83443      2018-7-8     yes   
    53272      2017-2-6     yes   
    29008      2017-11-17   no    
    57481      2016-9-3     yes   
    27747      2019-11-23   yes   
    33376      2018-4-16    no    
    13419      2020-1-23    no    
    11956      2016-3-24    yes   
    29285      2017-7-15    yes   
    21515      2019-2-16    no    
    90106      2018-11-22   yes   
    63025      2017-9-24    yes   
    86355      2019-9-22    no    
    61848      2019-10-1    yes   
    22737      2020-6-4     no    
