Membership No  Date Joined  Active  
    80753      2016-7-19    yes   
    40091      2020-9-23    no    
    21900      2018-2-19    no    
    82294      2019-8-17    no    
    46928      2017-4-23    yes   
    68454      2018-5-8     no    
    79466      2020-12-6    yes   
    81138      2015-4-4     yes   
    52058      2017-4-12    yes   
    61718      2019-5-10    yes   
    58182      2017-8-11    yes   
    16594      2017-6-17    yes   
    30358      2018-1-1     no    
    22599      2015-1-2     yes   
    22041      2019-12-9    no    
    88174      2015-1-7     yes   
    89277      2015-11-14   no    
    58573      2018-11-1    yes   
    84963      2018-1-15    yes   
    52298      2017-5-3     yes   
